iter	Passed	Remaining
0	10	2060
1	20	2025
2	31	2038
3	40	2003
4	50	1972
5	59	1936
6	69	1914
7	79	1902
8	88	1879
9	97	1861
10	107	1851
11	116	1829
12	127	1828
13	137	1825
14	148	1829
15	158	1824
16	168	1812
17	177	1797
18	187	1787
19	196	1768
20	206	1759
21	217	1756
22	227	1747
23	236	1736
24	246	1727
25	256	1717
26	266	1710
27	277	1702
28	287	1693
29	295	1676
30	304	1662
31	314	1652
32	324	1643
33	335	1636
34	344	1624
35	353	1612
36	363	1600
37	373	1590
38	382	1579
39	393	1574
40	403	1563
41	413	1555
42	423	1545
43	433	1535
44	443	1527
45	453	1517
46	462	1507
47	471	1493
48	481	1483
49	491	1473
50	500	1463
51	510	1452
52	519	1441
53	529	1432
54	538	1419
55	548	1410
56	558	1400
57	568	1391
58	577	1380
59	587	1370
60	596	1359
61	604	1345
62	614	1335
63	623	1325
64	633	1314
65	642	1304
66	652	1295
67	662	1286
68	672	1276
69	682	1267
70	691	1257
71	702	1248
72	711	1237
73	720	1227
74	729	1216
75	738	1205
76	748	1196
77	758	1185
78	767	1175
79	777	1166
80	786	1155
81	796	1146
82	805	1136
83	815	1126
84	830	1123
85	839	1113
86	850	1104
87	859	1094
88	869	1084
89	879	1074
90	888	1064
91	897	1054
92	907	1044
93	917	1034
94	927	1024
95	936	1014
96	945	1004
97	955	994
98	965	984
99	974	974
100	984	964
101	993	955
102	1003	945
103	1013	935
104	1022	924
105	1031	915
106	1040	904
107	1050	894
108	1060	885
109	1069	875
110	1079	865
111	1088	855
112	1098	845
113	1107	835
114	1116	825
115	1126	815
116	1134	805
117	1144	795
118	1154	785
119	1163	775
120	1173	766
121	1183	756
122	1192	746
123	1201	736
124	1210	726
125	1219	716
126	1228	706
127	1238	696
128	1248	687
129	1258	677
130	1268	668
131	1278	658
132	1287	648
133	1294	637
134	1303	627
135	1312	617
136	1323	608
137	1332	598
138	1342	589
139	1351	579
140	1361	569
141	1373	560
142	1382	551
143	1392	541
144	1402	531
145	1411	522
146	1420	512
147	1430	502
148	1440	493
149	1450	483
150	1460	473
151	1471	464
152	1480	454
153	1489	444
154	1499	435
155	1508	425
156	1517	415
157	1527	406
158	1536	396
159	1546	386
160	1556	376
161	1566	367
162	1576	357
163	1585	348
164	1595	338
165	1604	328
166	1613	318
167	1623	309
168	1632	299
169	1642	289
170	1651	280
171	1660	270
172	1670	260
173	1680	251
174	1690	241
175	1700	231
176	1708	222
177	1718	212
178	1727	202
179	1737	193
180	1747	183
181	1756	173
182	1766	164
183	1776	154
184	1786	144
185	1795	135
186	1804	125
187	1812	115
188	1822	106
189	1831	96
190	1839	86
191	1848	77
192	1858	67
193	1867	57
194	1876	48
195	1886	38
196	1896	28
197	1905	19
198	1915	9
199	1924	0
